1	0
2	4.65
3	5.19
4	7.11
5	18.88
6	15.65
7	18.09
8	26.82
9	51.71
10	60.51
11	95.57
12	93.68
13	62.93
14	172.64
15	128.41
16	218.14
17	273.4
18	209.89
19	307.49
20	272.42
21	218.19
22	382.84
23	368.99
24	369.03
25	239.34
26	232.84
27	286.05
28	306.13
29	253.4
30	240.76
31	207.99
32	260.87
33	253.57
34	307.95
35	265.54
36	318.38
37	248.42
38	267.16
39	343.17
40	354.24
41	311.57
42	362.88
43	289.29
44	358.13
45	325.65
46	336.59
47	367.74
48	470.65
49	379.92
50	397.62
51	457.52
52	453.42
53	368.14
54	423.79
55	449.38
56	479.32
57	496.72
58	583.15
59	533.47
60	573.14
61	569.87
62	555.47
63	585.1
64	592.16
65	582.51
66	596.21
67	644.7
68	609.43
69	742.59
70	753
71	588.34
72	698.64
73	748.33
74	787.71
75	764.81
76	827.41
77	763.67
78	868.11
79	902.73
80	1015.73
81	962.85
82	891.36
83	889.96
84	1006.47
85	993.67
86	1105.99
87	1064.62
88	984.99
89	988.72
90	1071.23
91	1056.29
92	1310.28
93	1199.44
94	1186.42
95	1158.25
96	1383.29
97	1269.81
98	1322.04
99	1355.68
100	1153.01
101	1328.24
102	1212.06
103	1410.27
104	1426.98
105	1428.7
106	1501.5
107	1296.8
108	1215.68
109	1454.9
110	1546.1
111	1520.43
112	1617.41
113	1707.47
114	1406.58
115	1666.6
116	1520.89
117	1714.46
118	1787.2
119	1797.75
120	1770.87
121	1589.77
122	1874.5
123	1773.12
124	1881.15
125	1735.64
126	1758.47
127	1871.51
128	2096.87
129	2014.24
130	2238.58
131	1990.4
132	2026.88
133	1983.91
134	2327.82
135	2232.8
136	2209.59
137	2082.82
138	1972.27
139	2466.19
140	2413.33
141	2429.15
142	2440.64
143	2364.57
144	2175.84
145	2346.72
146	2361.13
147	2654.37
148	2359.09
149	2725.58
150	2050.51
151	2792.16
152	2807.91
153	2682.68
154	2859.8
155	2686.99
156	2759.54
157	2742.15
158	2645.34
159	2776.58
160	2775.34
161	2936.08
162	2414.67
163	2892.3
164	2643.5
165	3463.77
166	2985.65
167	3481.49
168	3203.37
169	3088.79
170	2759.86
171	3382.05
172	3158.19
173	3446.62
174	2666.94
175	3550.35
176	3372.18
177	3362.51
178	3451.59
179	3192.36
180	3650.14
181	3782.88
182	3682.69
183	4014.46
184	4430.1
185	4134.57
186	2964.92
187	3678.03
188	3830.02
189	4199.79
190	3714.43
191	3785.59
192	3917.44
193	3947.67
194	4766.69
195	4182.58
196	4372.48
197	4590.9
198	4048.5
199	4698.46
